,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,29.980000000000018,57,1021,Sky is Clear,1436863101,0.51,90,Bologna,2015-07-14 10:38:21,71
1,30.260000000000048,51,1021,moderate rain,1436866691,1.03,157,Bologna,2015-07-14 11:38:11,71
2,32.360000000000014,46,1021,sky is clear,1436870392,2.06,67,Bologna,2015-07-14 12:39:52,71
3,31.160000000000025,47,1021,moderate rain,1436874000,2.06,90,Bologna,2015-07-14 13:40:00,71
4,33.48000000000002,44,1021,sky is clear,1436877549,2.06,135,Bologna,2015-07-14 14:39:09,71
5,33.85000000000002,43,1020,few clouds,1436881209,1.54,22,Bologna,2015-07-14 15:40:09,71
6,32.370000000000005,41,1020,moderate rain,1436884803,6.68,337,Bologna,2015-07-14 16:40:03,71
7,32.82000000000005,42,1020,moderate rain,1436888404,2.06,0,Bologna,2015-07-14 17:40:04,71
8,30.78000000000003,45,1020,moderate rain,1436892008,2.06,112,Bologna,2015-07-14 18:40:08,71
9,31.07000000000005,47,1020,Sky is Clear,1436895597,3.6,90,Bologna,2015-07-14 19:39:57,71
10,29.08000000000004,49,1020,moderate rain,1436899236,1.54,112,Bologna,2015-07-14 20:40:36,71
11,28.230000000000018,58,1014,Sky is Clear,1436902819,1.54,128,Bologna,2015-07-14 21:40:19,71
12,26.060000000000002,62,1014,Sky is Clear,1436906402,1.6600000000000001,91.004,Bologna,2015-07-14 22:40:02,71
13,24.950000000000045,66,1014,Sky is Clear,1436910022,1.6600000000000001,91.004,Bologna,2015-07-14 23:40:22,71
14,24.689999999999998,70,1014,Sky is Clear,1436913626,1.54,120,Bologna,2015-07-15 00:40:26,71
15,25.400000000000034,75,1014,moderate rain,1436917184,1.21,163.001,Bologna,2015-07-15 01:39:44,71
16,25.189999999999998,76,1014,moderate rain,1436920807,1.03,129,Bologna,2015-07-15 02:40:07,71
17,23.890000000000043,77,1011,Sky is Clear,1436924352,1.42,185.503,Bologna,2015-07-15 03:39:12,71
18,20.632000000000005,85,1001.41,Sky is Clear,1436927977,1.42,185.503,Bologna,2015-07-15 04:39:37,71
19,20.632000000000005,85,1001.41,Sky is Clear,1436931599,1.42,185.503,Bologna,2015-07-15 05:39:59,71
20,26.012,62,1001.62,Sky is Clear,1436935178,2.12,238.001,Bologna,2015-07-15 06:39:38,71
21,26.012,62,1001.62,Sky is Clear,1436938769,2.12,238.001,Bologna,2015-07-15 07:39:29,71
22,26.012,62,1001.62,Sky is Clear,1436942390,2.12,238.001,Bologna,2015-07-15 08:39:50,71
23,31.350000000000023,57,1001.78,Sky is Clear,1436945886,1.42,69.5009,Bologna,2015-07-15 09:38:06,71
