,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,28.79000000000002,54,1012,Sky is Clear,1437730850,3.1,70,Asti,2015-07-24 11:40:50,315
1,30.02000000000004,58,1012,Sky is Clear,1437734493,3.1,70,Asti,2015-07-24 12:41:33,315
2,30.79000000000002,49,1007,light rain,1437738045,2.06,24,Asti,2015-07-24 13:40:45,315
3,32.02000000000004,51,1011,few clouds,1437741579,4.1,10,Asti,2015-07-24 14:39:39,315
4,30.930000000000007,51,1011,few clouds,1437745188,2.6,120,Asti,2015-07-24 15:39:48,315
5,29.120000000000005,48,1009,light rain,1437748777,2.1,0,Asti,2015-07-24 16:39:37,315
6,29.100000000000023,58,1009,heavy intensity rain,1437752543,5.7,170,Asti,2015-07-24 17:42:23,315
7,29.04000000000002,54,1008,broken clouds,1437756041,1,0,Asti,2015-07-24 18:40:41,315
8,27.890000000000043,65,1008,scattered clouds,1437759569,1,0,Asti,2015-07-24 19:39:29,315
9,26.870000000000005,61,1008,Sky is Clear,1437763243,1,180,Asti,2015-07-24 20:40:43,315
10,26.53000000000003,61,1009,scattered clouds,1437766818,2.6,270,Asti,2015-07-24 21:40:18,315
11,26.29000000000002,57,1009,light rain,1437770378,3.6,300,Asti,2015-07-24 22:39:38,315
12,24.77000000000004,57,1009,few clouds,1437774026,2.1,0,Asti,2015-07-24 23:40:26,315
13,24.060000000000002,69,1009,Sky is Clear,1437777556,1.5,90,Asti,2015-07-25 00:39:16,315
14,24.670000000000016,64,1009,broken clouds,1437781277,4.1,10,Asti,2015-07-25 01:41:17,315
15,23.160000000000025,64,1009,Sky is Clear,1437784849,2.1,280,Asti,2015-07-25 02:40:49,315
16,22.840000000000032,64,1009,moderate rain,1437788406,1.5,290,Asti,2015-07-25 03:40:06,315
17,22.0,73,1009,moderate rain,1437792027,0.5,0,Asti,2015-07-25 04:40:27,315
18,21.660000000000025,83,1009,scattered clouds,1437795652,1,350,Asti,2015-07-25 05:40:52,315
19,21.480000000000018,77,1009,heavy intensity rain,1437799261,1.5,330,Asti,2015-07-25 06:41:01,315
20,20.970000000000027,93,1007,moderate rain,1437802783,0.51,0,Asti,2015-07-25 07:39:43,315
21,22.74000000000001,78,1010,Sky is Clear,1437806425,0.5,0,Asti,2015-07-25 08:40:25,315
22,24.340000000000032,64,1010,Sky is Clear,1437809987,1,0,Asti,2015-07-25 09:39:47,315
23,25.58000000000004,77,1006,light rain,1437813633,2.06,0,Asti,2015-07-25 10:40:33,315
