,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,32.08000000000004,79,1010,moderate rain,1437730850,1.5,310,Faenza,2015-07-24 11:40:50,37
1,32.400000000000034,75,1009,moderate rain,1437734493,3.6,40,Faenza,2015-07-24 12:41:33,37
2,32.74000000000001,75,1009,moderate rain,1437738046,3.6,70,Faenza,2015-07-24 13:40:46,37
3,32.700000000000045,79,1009,moderate rain,1437741579,5.1,70,Faenza,2015-07-24 14:39:39,37
4,32.33000000000004,70,1008,moderate rain,1437745188,3.6,60,Faenza,2015-07-24 15:39:48,37
5,32.400000000000034,74,1008,moderate rain,1437748777,2.6,80,Faenza,2015-07-24 16:39:37,37
6,32.09000000000003,74,1007,moderate rain,1437752543,3.1,90,Faenza,2015-07-24 17:42:23,37
7,31.410000000000025,66,1007,moderate rain,1437756042,3.1,120,Faenza,2015-07-24 18:40:42,37
8,31.180000000000007,70,1007,moderate rain,1437759569,3.1,130,Faenza,2015-07-24 19:39:29,37
9,29.590000000000032,79,1007,moderate rain,1437763243,3.1,120,Faenza,2015-07-24 20:40:43,37
10,29.05000000000001,83,1007,moderate rain,1437766819,2.6,140,Faenza,2015-07-24 21:40:19,37
11,28.700000000000045,79,1008,moderate rain,1437770378,1.5,140,Faenza,2015-07-24 22:39:38,37
12,27.670000000000016,94,1008,moderate rain,1437774027,1,230,Faenza,2015-07-24 23:40:27,37
13,27.220000000000027,100,1008,moderate rain,1437777556,1.5,250,Faenza,2015-07-25 00:39:16,37
14,26.54000000000002,100,1007,moderate rain,1437781277,0.5,170,Faenza,2015-07-25 01:41:17,37
15,25.930000000000007,100,1007,moderate rain,1437784850,1,250,Faenza,2015-07-25 02:40:50,37
16,25.53000000000003,100,1007,moderate rain,1437788407,2.37,210.504,Faenza,2015-07-25 03:40:07,37
17,25.010000000000048,94,1007,moderate rain,1437792027,3.32,224.004,Faenza,2015-07-25 04:40:27,37
18,24.03000000000003,94,1007,moderate rain,1437795653,1,230,Faenza,2015-07-25 05:40:53,37
19,24.77000000000004,94,1007,moderate rain,1437799262,1,230,Faenza,2015-07-25 06:41:02,37
20,25.590000000000032,94,1008,Sky is Clear,1437802784,2.61,254.001,Faenza,2015-07-25 07:39:44,37
21,27.230000000000018,83,1008,Sky is Clear,1437806426,2.61,254.001,Faenza,2015-07-25 08:40:26,37
22,30.200000000000045,70,1008,Sky is Clear,1437809988,2.1,250,Faenza,2015-07-25 09:39:48,37
23,31.120000000000005,70,1008,moderate rain,1437813634,3.6,260,Faenza,2015-07-25 10:40:34,37
