,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,30.29000000000002,54,1012,Sky is Clear,1437730770,3.1,70,Torino,2015-07-24 11:39:30,357
1,30.680000000000007,58,1012,Sky is Clear,1437734413,3.1,70,Torino,2015-07-24 12:40:13,357
2,30.960000000000036,58,1012,few clouds,1437737966,3.6,70,Torino,2015-07-24 13:39:26,357
3,30.910000000000025,51,1011,few clouds,1437741497,4.1,10,Torino,2015-07-24 14:38:17,357
4,32.200000000000045,51,1011,few clouds,1437745130,2.6,120,Torino,2015-07-24 15:38:50,357
5,30.160000000000025,48,1009,moderate rain,1437748723,2.1,0,Torino,2015-07-24 16:38:43,357
6,25.970000000000027,58,1009,heavy intensity rain,1437752434,5.7,170,Torino,2015-07-24 17:40:34,357
7,27.230000000000018,54,1008,broken clouds,1437755956,1,0,Torino,2015-07-24 18:39:16,357
8,26.83000000000004,65,1008,light rain,1437759504,1,0,Torino,2015-07-24 19:38:24,357
9,26.180000000000007,61,1008,Sky is Clear,1437763164,1,180,Torino,2015-07-24 20:39:24,357
10,24.310000000000002,61,1009,moderate rain,1437766745,2.6,270,Torino,2015-07-24 21:39:05,357
11,23.83000000000004,57,1009,light rain,1437770315,3.6,300,Torino,2015-07-24 22:38:35,357
12,23.29000000000002,57,1009,few clouds,1437773945,2.1,0,Torino,2015-07-24 23:39:05,357
13,21.950000000000045,69,1009,Sky is Clear,1437777493,1.5,90,Torino,2015-07-25 00:38:13,357
14,21.75,64,1009,broken clouds,1437781191,4.1,10,Torino,2015-07-25 01:39:51,357
15,23.010000000000048,64,1009,Sky is Clear,1437784762,2.1,280,Torino,2015-07-25 02:39:22,357
16,22.390000000000043,64,1009,light rain,1437788332,1.5,290,Torino,2015-07-25 03:38:52,357
17,21.5,73,1009,scattered clouds,1437791949,0.5,0,Torino,2015-07-25 04:39:09,357
18,21.840000000000032,83,1009,scattered clouds,1437795572,1,350,Torino,2015-07-25 05:39:32,357
19,21.840000000000032,77,1009,broken clouds,1437799177,1.5,330,Torino,2015-07-25 06:39:37,357
20,21.5,88,1010,broken clouds,1437802719,1.5,50,Torino,2015-07-25 07:38:39,357
21,23.54000000000002,78,1010,Sky is Clear,1437806353,0.5,0,Torino,2015-07-25 08:39:13,357
22,25.720000000000027,64,1010,Sky is Clear,1437809920,1,0,Torino,2015-07-25 09:38:40,357
23,25.840000000000032,64,1010,Sky is Clear,1437813560,1.5,0,Torino,2015-07-25 10:39:20,357
